id,id,kendalls_tau,spearman,zero_one_accuracy,model_params,object_detector,feature_transformer,object_ranker,object_ranker_params
302,1633,0.6683232,0.7321,0.40619278,,faster-rcnn,resnet,torch-fate-ranker,
302,1632,0.6349816,0.6967429,0.39463145,,faster-rcnn,resnet,torch-fate-ranker,
302,1101,0.6394432,0.7029463,0.38570285,,faster-rcnn,resnet,torch-fate-ranker,
302,1100,0.6193947,0.68255585,0.39239928,,faster-rcnn,resnet,torch-fate-ranker,
302,1099,0.62557507,0.6873046,0.3834707,,faster-rcnn,resnet,torch-fate-ranker,
229,1625,0.54213923,0.6115425,0.30929488,box_expansion_factor=1.0,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
229,1624,0.56290257,0.62818134,0.34518084,box_expansion_factor=1.0,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
229,1470,0.59105515,0.6518042,0.36023352,box_expansion_factor=1.0,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
229,1469,0.5224552,0.5840684,0.31187043,box_expansion_factor=1.0,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
229,1451,0.5628596,0.62212664,0.36263737,box_expansion_factor=1.0,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
227,1621,0.573321,0.6311197,0.37213826,box_expansion_factor=0.3,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
227,1620,0.5843032,0.64718354,0.35874543,box_expansion_factor=0.3,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
227,1466,0.60902774,0.67123365,0.36521292,box_expansion_factor=0.3,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
227,1465,0.5801686,0.6397691,0.35594094,box_expansion_factor=0.3,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
227,1449,0.59378725,0.6566884,0.35926053,box_expansion_factor=0.3,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
225,1617,0.5677294,0.6306453,0.34626833,box_expansion_factor=1.0,faster-rcnn,resnet,torch-fate-ranker,
225,1616,0.5608064,0.62370545,0.34180403,box_expansion_factor=1.0,faster-rcnn,resnet,torch-fate-ranker,
225,1462,0.56480855,0.6275369,0.3617216,box_expansion_factor=1.0,faster-rcnn,resnet,torch-fate-ranker,
225,1461,0.56510127,0.6276269,0.3416323,box_expansion_factor=1.0,faster-rcnn,resnet,torch-fate-ranker,
225,1447,0.54634726,0.6107046,0.33791208,box_expansion_factor=1.0,faster-rcnn,resnet,torch-fate-ranker,
223,1613,0.5770521,0.64004135,0.3447802,box_expansion_factor=0.3,faster-rcnn,resnet,torch-fate-ranker,
223,1612,0.5717117,0.63595897,0.3583448,box_expansion_factor=0.3,faster-rcnn,resnet,torch-fate-ranker,
223,1458,0.60382295,0.6654906,0.3834707,box_expansion_factor=0.3,faster-rcnn,resnet,torch-fate-ranker,
223,1457,0.58464754,0.6501224,0.35611263,box_expansion_factor=0.3,faster-rcnn,resnet,torch-fate-ranker,
223,1445,0.56528634,0.6279842,0.3507326,box_expansion_factor=0.3,faster-rcnn,resnet,torch-fate-ranker,
221,1609,0.64591753,0.70909196,0.39852333,,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
221,1608,0.6472658,0.7085706,0.39388737,,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
221,1454,0.63802415,0.69904435,0.3894231,,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
221,1453,0.624189,0.68462145,0.3862752,,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
221,1443,0.6451345,0.7065474,0.39852333,,faster-rcnn,resnet,torch-fate-ranker,use_image_context=true
