id,backbone_name,n_cells,predictions_per_cell,id,kendalls_tau,spearman,zero_one_accuracy,object_detection_precision,object_detection_recall,label_accuracy
504,resnet,11,2,212,0.81427836,0.84857905,0.6806891,0.17481826,0.48769033,0.7738855
504,resnet,11,2,211,0.7972016,0.8296836,0.65499085,0.21292797,0.5265147,0.76902765
504,resnet,11,2,204,0.7961226,0.822783,0.71005034,0.124392666,0.3846968,0.76934475
504,resnet,11,2,198,0.8029387,0.8262973,0.73334473,0.17244047,0.38013867,0.69526476
504,resnet,11,2,190,0.7908119,0.8279341,0.63455814,0.18960568,0.5496364,0.7674158
503,resnet,7,2,210,0.8226041,0.8449338,0.74856913,0.18485765,0.36428806,0.7728601
503,resnet,7,2,209,0.85447174,0.87714523,0.78222305,0.12278479,0.32109177,0.70322603
503,resnet,7,2,203,0.83469886,0.85833675,0.74874085,0.16917484,0.3390368,0.7083603
503,resnet,7,2,202,0.8480462,0.8725591,0.757326,0.16232194,0.39649877,0.74074954
503,resnet,7,2,188,0.84677505,0.8666825,0.7794757,0.15882945,0.3460998,0.71932787
502,mobilenet,11,2,208,0.7858996,0.81322014,0.70209473,0.11612744,0.3974082,0.7256031
502,mobilenet,11,2,207,0.8250411,0.8514786,0.7413576,0.0855963,0.30024338,0.72343653
502,mobilenet,11,2,201,0.81732357,0.84506935,0.7249313,0.13701285,0.40927806,0.7668754
502,mobilenet,11,2,200,0.8119378,0.83337224,0.7469093,0.08698505,0.318817,0.7061219
502,mobilenet,11,2,187,0.8168218,0.8409295,0.73649263,0.12845896,0.39846706,0.76553506
501,mobilenet,7,2,206,0.86467445,0.8829274,0.80603254,0.09938293,0.25956744,0.644454
501,mobilenet,7,2,205,0.8474039,0.86859065,0.76917356,0.11908331,0.27898452,0.6523056
501,mobilenet,7,2,192,0.86437494,0.88421667,0.80173993,0.09045332,0.25401443,0.63016737
501,mobilenet,7,2,191,0.8640434,0.87877,0.82406133,0.10405069,0.23817638,0.6502265
501,mobilenet,7,2,186,0.8404849,0.8589956,0.7805632,0.11945992,0.30871585,0.69596714
