id,id,kendalls_tau,spearman,zero_one_accuracy,object_detector,feature_transformer,feature_transformer_params,object_ranker
119,1599,0.6920292,0.74563146,0.44133472,faster-rcnn,raw,"input_type=blacked,reduced_size=64",torch-fate-ranker
119,1417,0.68912476,0.7462737,0.43481,faster-rcnn,raw,"input_type=blacked,reduced_size=64",torch-fate-ranker
119,1185,0.70130473,0.7539362,0.45060667,faster-rcnn,raw,"input_type=blacked,reduced_size=64",torch-fate-ranker
119,1184,0.68422323,0.7429269,0.4271978,faster-rcnn,raw,"input_type=blacked,reduced_size=64",torch-fate-ranker
119,1183,0.7155231,0.76787084,0.4735005,faster-rcnn,raw,"input_type=blacked,reduced_size=64",torch-fate-ranker
118,523,0.69327766,0.7547222,0.424565,faster-rcnn,resnet,"input_type=blacked,reduced_size=128",torch-fate-ranker
118,522,0.72874457,0.78765094,0.45398355,faster-rcnn,resnet,"input_type=blacked,reduced_size=128",torch-fate-ranker
118,521,0.69967526,0.75912654,0.42645377,faster-rcnn,resnet,"input_type=blacked,reduced_size=128",torch-fate-ranker
118,520,0.6445741,0.70785344,0.3801511,faster-rcnn,resnet,"input_type=blacked,reduced_size=128",torch-fate-ranker
118,519,0.7359832,0.79066116,0.47384384,faster-rcnn,resnet,"input_type=blacked,reduced_size=128",torch-fate-ranker
117,518,0.69319785,0.75401753,0.4300023,faster-rcnn,alexnet,"input_type=blacked,reduced_size=128",torch-fate-ranker
117,517,0.7280905,0.7852806,0.45489928,faster-rcnn,alexnet,"input_type=blacked,reduced_size=128",torch-fate-ranker
117,516,0.6956779,0.7560519,0.42422163,faster-rcnn,alexnet,"input_type=blacked,reduced_size=128",torch-fate-ranker
117,515,0.7067168,0.76421916,0.44951925,faster-rcnn,alexnet,"input_type=blacked,reduced_size=128",torch-fate-ranker
117,514,0.66630036,0.72753245,0.40413234,faster-rcnn,alexnet,"input_type=blacked,reduced_size=128",torch-fate-ranker
116,1598,0.5501299,0.6106135,0.32154304,faster-rcnn,autoencoder,"input_type=blacked,n_latent_features=4096,reduced_size=128",torch-fate-ranker
116,1415,0.54977554,0.6124341,0.33550823,faster-rcnn,autoencoder,"input_type=blacked,n_latent_features=4096,reduced_size=128",torch-fate-ranker
116,1094,0.57230747,0.6397876,0.33419186,faster-rcnn,autoencoder,"input_type=blacked,n_latent_features=4096,reduced_size=128",torch-fate-ranker
116,1093,0.69281125,0.7510263,0.4543269,faster-rcnn,autoencoder,"input_type=blacked,n_latent_features=4096,reduced_size=128",torch-fate-ranker
116,1092,0.47789133,0.5329338,0.29779077,faster-rcnn,autoencoder,"input_type=blacked,n_latent_features=4096,reduced_size=128",torch-fate-ranker
104,1394,0.21347573,0.25254738,0.19826008,faster-rcnn,raw,reduced_size=64,torch-fate-ranker
104,1393,0.23633158,0.27071178,0.21668956,faster-rcnn,raw,reduced_size=64,torch-fate-ranker
104,1173,0.25824833,0.30289176,0.2189217,faster-rcnn,raw,reduced_size=64,torch-fate-ranker
104,1172,0.24023454,0.2832302,0.21296933,faster-rcnn,raw,reduced_size=64,torch-fate-ranker
104,1171,0.18309322,0.21319403,0.22132556,faster-rcnn,raw,reduced_size=64,torch-fate-ranker
103,1595,0.6427483,0.7037028,0.39297163,faster-rcnn,resnet,reduced_size=128,torch-fate-ranker
103,1594,0.6075613,0.6673276,0.38272667,faster-rcnn,resnet,reduced_size=128,torch-fate-ranker
103,1060,0.6435395,0.7068842,0.39983976,faster-rcnn,resnet,reduced_size=128,torch-fate-ranker
103,1059,0.6176003,0.68210226,0.3635531,faster-rcnn,resnet,reduced_size=128,torch-fate-ranker
103,1038,0.6481744,0.712744,0.40710855,faster-rcnn,resnet,reduced_size=128,torch-fate-ranker
102,1593,0.5934345,0.6544906,0.3617216,faster-rcnn,alexnet,reduced_size=128,torch-fate-ranker
102,1592,0.6538575,0.7130297,0.38553116,faster-rcnn,alexnet,reduced_size=128,torch-fate-ranker
102,1058,0.62465274,0.685856,0.3768315,faster-rcnn,alexnet,reduced_size=128,torch-fate-ranker
102,1057,0.6174226,0.67488503,0.37551513,faster-rcnn,alexnet,reduced_size=128,torch-fate-ranker
102,1037,0.5883577,0.6491997,0.34815705,faster-rcnn,alexnet,reduced_size=128,torch-fate-ranker
101,1387,0.5332794,0.59622306,0.34386447,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-fate-ranker
101,1386,0.18322074,0.22181728,0.19826008,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-fate-ranker
101,1056,0.40819967,0.46883845,0.26968867,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-fate-ranker
101,1055,0.38253698,0.436955,0.27730083,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-fate-ranker
101,1052,0.37309748,0.43114382,0.27564102,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-fate-ranker
